subject_id,timepoint,mission_phase,time_index,metric,data_type,baseline_value,current_value,delta_value,absolute_delta_value
Demo_Crew_01,T0_baseline,baseline,0,mean_node_activation,schema_demonstration_not_scientific_evidence,0.83333,0.83333,0.0,0.0
Demo_Crew_01,T0_baseline,baseline,0,max_node_activation,schema_demonstration_not_scientific_evidence,0.9,0.9,0.0,0.0
Demo_Crew_01,T0_baseline,baseline,0,total_node_activation,schema_demonstration_not_scientific_evidence,5.0,5.0,0.0,0.0
Demo_Crew_01,T0_baseline,baseline,0,n_active_domains,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_01,T0_baseline,baseline,0,active_domain_fraction,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_01,T0_baseline,baseline,0,graph_density,schema_demonstration_not_scientific_evidence,0.26667,0.26667,0.0,0.0
Demo_Crew_01,T0_baseline,baseline,0,coactivation_edge_count,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_01,T1_pre,pre_mission,1,mean_node_activation,schema_demonstration_not_scientific_evidence,0.83333,0.85667,0.02334,0.02334
Demo_Crew_01,T1_pre,pre_mission,1,max_node_activation,schema_demonstration_not_scientific_evidence,0.9,0.92,0.02,0.02
Demo_Crew_01,T1_pre,pre_mission,1,total_node_activation,schema_demonstration_not_scientific_evidence,5.0,5.14,0.14,0.14
Demo_Crew_01,T1_pre,pre_mission,1,n_active_domains,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_01,T1_pre,pre_mission,1,active_domain_fraction,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_01,T1_pre,pre_mission,1,graph_density,schema_demonstration_not_scientific_evidence,0.26667,0.26667,0.0,0.0
Demo_Crew_01,T1_pre,pre_mission,1,coactivation_edge_count,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_01,T2_inflight,inflight,2,mean_node_activation,schema_demonstration_not_scientific_evidence,0.83333,1.08833,0.255,0.255
Demo_Crew_01,T2_inflight,inflight,2,max_node_activation,schema_demonstration_not_scientific_evidence,0.9,1.2,0.3,0.3
Demo_Crew_01,T2_inflight,inflight,2,total_node_activation,schema_demonstration_not_scientific_evidence,5.0,6.53,1.53,1.53
Demo_Crew_01,T2_inflight,inflight,2,n_active_domains,schema_demonstration_not_scientific_evidence,0.0,5.0,5.0,5.0
Demo_Crew_01,T2_inflight,inflight,2,active_domain_fraction,schema_demonstration_not_scientific_evidence,0.0,0.83333,0.83333,0.83333
Demo_Crew_01,T2_inflight,inflight,2,graph_density,schema_demonstration_not_scientific_evidence,0.26667,0.66667,0.4,0.4
Demo_Crew_01,T2_inflight,inflight,2,coactivation_edge_count,schema_demonstration_not_scientific_evidence,0.0,6.0,6.0,6.0
Demo_Crew_01,T3_post,postflight,3,mean_node_activation,schema_demonstration_not_scientific_evidence,0.83333,1.22167,0.38834,0.38834
Demo_Crew_01,T3_post,postflight,3,max_node_activation,schema_demonstration_not_scientific_evidence,0.9,1.35,0.45,0.45
Demo_Crew_01,T3_post,postflight,3,total_node_activation,schema_demonstration_not_scientific_evidence,5.0,7.33,2.33,2.33
Demo_Crew_01,T3_post,postflight,3,n_active_domains,schema_demonstration_not_scientific_evidence,0.0,6.0,6.0,6.0
Demo_Crew_01,T3_post,postflight,3,active_domain_fraction,schema_demonstration_not_scientific_evidence,0.0,1.0,1.0,1.0
Demo_Crew_01,T3_post,postflight,3,graph_density,schema_demonstration_not_scientific_evidence,0.26667,1.0,0.73333,0.73333
Demo_Crew_01,T3_post,postflight,3,coactivation_edge_count,schema_demonstration_not_scientific_evidence,0.0,11.0,11.0,11.0
Demo_Crew_01,T4_recovery,recovery,4,mean_node_activation,schema_demonstration_not_scientific_evidence,0.83333,0.92333,0.09,0.09
Demo_Crew_01,T4_recovery,recovery,4,max_node_activation,schema_demonstration_not_scientific_evidence,0.9,0.98,0.08,0.08
Demo_Crew_01,T4_recovery,recovery,4,total_node_activation,schema_demonstration_not_scientific_evidence,5.0,5.54,0.54,0.54
Demo_Crew_01,T4_recovery,recovery,4,n_active_domains,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_01,T4_recovery,recovery,4,active_domain_fraction,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_01,T4_recovery,recovery,4,graph_density,schema_demonstration_not_scientific_evidence,0.26667,0.26667,0.0,0.0
Demo_Crew_01,T4_recovery,recovery,4,coactivation_edge_count,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_02,T0_baseline,baseline,0,mean_node_activation,schema_demonstration_not_scientific_evidence,0.72833,0.72833,0.0,0.0
Demo_Crew_02,T0_baseline,baseline,0,max_node_activation,schema_demonstration_not_scientific_evidence,0.78,0.78,0.0,0.0
Demo_Crew_02,T0_baseline,baseline,0,total_node_activation,schema_demonstration_not_scientific_evidence,4.37,4.37,0.0,0.0
Demo_Crew_02,T0_baseline,baseline,0,n_active_domains,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_02,T0_baseline,baseline,0,active_domain_fraction,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_02,T0_baseline,baseline,0,graph_density,schema_demonstration_not_scientific_evidence,0.26667,0.26667,0.0,0.0
Demo_Crew_02,T0_baseline,baseline,0,coactivation_edge_count,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_02,T1_pre,pre_mission,1,mean_node_activation,schema_demonstration_not_scientific_evidence,0.72833,0.75,0.02167,0.02167
Demo_Crew_02,T1_pre,pre_mission,1,max_node_activation,schema_demonstration_not_scientific_evidence,0.78,0.8,0.02,0.02
Demo_Crew_02,T1_pre,pre_mission,1,total_node_activation,schema_demonstration_not_scientific_evidence,4.37,4.5,0.13,0.13
Demo_Crew_02,T1_pre,pre_mission,1,n_active_domains,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_02,T1_pre,pre_mission,1,active_domain_fraction,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_02,T1_pre,pre_mission,1,graph_density,schema_demonstration_not_scientific_evidence,0.26667,0.26667,0.0,0.0
Demo_Crew_02,T1_pre,pre_mission,1,coactivation_edge_count,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_02,T2_inflight,inflight,2,mean_node_activation,schema_demonstration_not_scientific_evidence,0.72833,0.98,0.25167,0.25167
Demo_Crew_02,T2_inflight,inflight,2,max_node_activation,schema_demonstration_not_scientific_evidence,0.78,1.1,0.32,0.32
Demo_Crew_02,T2_inflight,inflight,2,total_node_activation,schema_demonstration_not_scientific_evidence,4.37,5.88,1.51,1.51
Demo_Crew_02,T2_inflight,inflight,2,n_active_domains,schema_demonstration_not_scientific_evidence,0.0,3.0,3.0,3.0
Demo_Crew_02,T2_inflight,inflight,2,active_domain_fraction,schema_demonstration_not_scientific_evidence,0.0,0.5,0.5,0.5
Demo_Crew_02,T2_inflight,inflight,2,graph_density,schema_demonstration_not_scientific_evidence,0.26667,0.4,0.13333,0.13333
Demo_Crew_02,T2_inflight,inflight,2,coactivation_edge_count,schema_demonstration_not_scientific_evidence,0.0,2.0,2.0,2.0
