scope,name,masked_fraction,masked_count,total
overall,all_features,0.17778,80,450
feature,domain_delta__body_composition_physical_status,0.2,2,10
feature,domain_delta__cardiovascular_regulation,0.2,2,10
feature,domain_delta__hematologic_oxygen_carrying,0.2,2,10
feature,domain_delta__inflammation_immune_adjacent,0.2,2,10
feature,domain_delta__metabolic_regulation,0.4,4,10
feature,domain_delta__recovery_related_markers,0.1,1,10
feature,graph_delta__active_domain_fraction,0.1,1,10
feature,graph_delta__coactivation_edge_count,0.3,3,10
feature,graph_delta__graph_density,0.2,2,10
feature,graph_delta__max_node_activation,0.1,1,10
feature,graph_delta__mean_node_activation,0.1,1,10
feature,graph_delta__n_active_domains,0.1,1,10
feature,graph_delta__total_node_activation,0.1,1,10
feature,hazard_delta__distance_from_earth,0.2,2,10
feature,hazard_delta__gravity_fields,0.3,3,10
feature,hazard_delta__hostile_closed_environments,0.1,1,10
feature,hazard_delta__isolation_and_confinement,0.2,2,10
feature,hazard_delta__space_radiation,0.3,3,10
feature,attr_node__body_composition_physical_status,0.2,2,10
feature,attr_node__cardiovascular_regulation,0.3,3,10
feature,attr_node__hematologic_oxygen_carrying,0.0,0,10
feature,attr_node__inflammation_immune_adjacent,0.2,2,10
feature,attr_node__metabolic_regulation,0.0,0,10
feature,attr_node__recovery_related_markers,0.5,5,10
feature,attr_subgraph__cardiometabolic,0.1,1,10
feature,attr_subgraph__cognitive_emotional_recovery,0.2,2,10
feature,attr_subgraph__hematologic_cardiovascular,0.1,1,10
feature,attr_subgraph__immune_metabolic,0.1,1,10
feature,attr_subgraph__sleep_autonomic_recovery,0.3,3,10
feature,attr_hazard__distance_from_earth,0.2,2,10
feature,attr_hazard__gravity_fields,0.0,0,10
feature,attr_hazard__hostile_closed_environments,0.3,3,10
feature,attr_hazard__isolation_and_confinement,0.2,2,10
feature,attr_hazard__space_radiation,0.1,1,10
feature,envelope__n_outside_node_envelope,0.3,3,10
feature,envelope__n_outside_graph_envelope,0.1,1,10
feature,envelope__n_outside_hazard_envelope,0.2,2,10
feature,recovery_frac__max_node_activation,0.2,2,10
feature,recovery_frac__mean_node_activation,0.2,2,10
feature,recovery_frac__n_active_domains,0.2,2,10
feature,recovery_frac__total_node_activation,0.2,2,10
feature,recovery_finaldelta__max_node_activation,0.0,0,10
feature,recovery_finaldelta__mean_node_activation,0.0,0,10
feature,recovery_finaldelta__n_active_domains,0.3,3,10
feature,recovery_finaldelta__total_node_activation,0.1,1,10
